2254,1
583,1
2773,0
1702,0
105,1
3181,0
2053,0
1206,1
2522,0
672,1
1737,0
1127,0
2123,0
3408,0
2297,1
281,0
1716,0
1034,1
1946,1
3296,0
3234,0
2487,1
1026,0
1800,0
2665,1
3594,1
660,1
3244,0
129,1
2605,0
1263,0
2694,0
1282,1
959,0
2198,0
3411,1
558,0
2861,0
113,1
867,1
3330,1
1693,0
3297,0
3517,0
929,0
3532,1
2341,1
1965,1
308,1
1875,0
1811,1
2105,1
3289,0
2597,0
340,0
1447,1
1734,0
3480,1
239,1
2919,0
3441,1
647,1
3021,0
1633,1
1458,0
2803,0
2311,0
217,1
1959,0
2337,0
2936,0
434,0
1162,0
1351,1
3365,1
1355,0
76,1
342,1
1057,1
14,1
1081,1
2004,0
2122,1
3270,0
945,1
1256,1
3367,1
1547,0
1253,1
628,0
374,1
891,1
1769,1
3485,1
2942,0
410,1
1112,1
117,1
1327,0
2758,0
1918,0
2751,0
458,1
1208,1
3632,0
1996,0
3342,1
181,1
3444,0
2822,0
270,1
3099,0
1163,1
3612,0
1516,0
901,1
3482,0
2326,0
1409,1
3400,0
532,1
2922,0
160,1
2514,0
858,0
3560,1
3599,0
3070,0
164,1
118,0
449,1
598,1
384,1
2795,0
1462,1
2770,0
2539,1
90,1
2269,0
2864,0
2290,0
310,1
981,1
3592,1
39,0
3106,0
1583,0
1532,0
2233,0
294,1
2762,1
3043,0
1939,0
2306,0
3384,0
1753,1
2978,0
3573,0
148,1
1563,0
1275,1
2830,0
1725,0
2089,1
343,1
2036,0
3177,0
2396,1
3281,0
991,1
2716,0
2521,0
642,1
1449,0
1009,0
876,1
2449,1
1451,1
1397,0
146,1
1051,1
2783,0
1309,1
1863,0
2075,0
875,0
1482,0
2170,0
23,1
1953,0
1389,1
103,1
1337,0
3125,1
3640,0
3042,1
982,1
2403,1
3170,1
574,1
1272,1
2851,0
868,1
354,1
3464,1
3449,1
1907,0
1775,1
3360,1
2971,0
2572,0
61,1
630,1
900,1
671,1
1378,1
879,1
12,1
4,1
2690,0
2835,1
2696,0
1841,1
1424,1
1936,1
3120,1
790,1
1994,0
2317,1
284,1
185,1
2517,1
1674,0
2282,0
1001,0
3434,1
3516,0
2925,0
1919,0
2467,1
2389,0
2556,1
2353,0
3304,0
3309,0
3027,0
3250,0
1739,0
1983,1
2899,0
2291,0
1288,1
508,1
487,1
2153,0
151,1
2114,0
2802,1
1704,0
3133,1
3468,1
1594,0
877,1
1405,1
3401,0
3004,1
492,1
3091,0
1805,1
3184,1
1421,0
2650,0
1285,1
2884,0
3676,0
743,1
1185,1
1601,1
1331,1
3236,1
3255,0
3283,0
2725,1
2580,0
1921,0
2555,0
1541,0
1876,0
1900,0
2395,0
2013,0
1884,1
675,1
485,1
230,1
3183,0
1651,1
2848,0
3096,1
130,1
2713,0
2889,0
2951,1
1963,0
69,1
1596,0
3631,0
1148,1
2204,1
1510,0
627,1
3649,1
208,1
2991,1
2507,1
615,1
797,1
2005,1
3667,0
501,1
1502,0
1191,0
1973,0
1976,0
134,1
2933,1
362,1
269,0
2691,1
2265,0
248,1
3507,1
2672,0
1703,1
885,1
3603,1
1365,1
1310,1
2398,0
1106,1
3589,0
993,1
85,0
570,1
2787,0
2890,0
883,0
1892,0
140,1
2049,0
2303,0
1439,1
2275,1
1636,0
2973,0
3580,0
1381,1
2676,0
2240,0
2367,1
2491,1
3355,1
1553,1
2373,0
1825,1
2852,0
521,1
2832,0
